text	label
Pour aujourd'hui j'en ai assez, je n'en mangerai plus ; une autre fois je ne dis pas, si je te retrouve.	DirectSpeech
-- Est-ce que tu n'es pas content ? est-ce que tu te plains ?	DirectSpeech
Est-ce que j'ai macaroné ? [Note : agi en traître.]	DirectSpeech
-- Non, non, je ne me plains pas : tu es un cadet qui a de l'atout,	DirectSpeech
-- Eh bien ! après ?	DirectSpeech
disent les sangliers [Note : les prêtres.].	DirectSpeech
es grinche[Note :voleur.], je ne suis	DirectSpeech
chouriné [Note : donné des coups de couteau à un homme.], c'est	DirectSpeech
je n'ai jamais grinché[[Note : volé] : demande à la Goualeuse.	DirectSpeech
-- C'est vrai, ce n'est pas un voleur,	DirectSpeech
-- Alors, viens boire un verre d'eau d'aff, et tu me connaîtras,	DirectSpeech
; allons, sans rancune.	DirectSpeech
-- Je recommencerai quand tu voudras.	DirectSpeech
-- Bras-Rouge !	DirectSpeech
; je ne sais pas ce que tu veux dire ; il n'y a pas que Bras-Rouge qui habite cette maison, sans doute ?	DirectSpeech
-- Si fait, mon homme... Bras-Rouge a ses raisons pour ne pas aimer les voisins,	DirectSpeech
-- Eh bien ! tant mieux pour lui,	DirectSpeech
-- C'est juste : d'ailleurs tes affaires ne me regardent pas ; tous ceux qui ont besoin de Bras-Rouge ne vont pas le dire à Rome. N'en parlons plus.	DirectSpeech
si, au lieu d'aller pitancher [Note : boire] de	DirectSpeech
d'aff, nous allions nous refaire de sorgue [Note : souper.] chez	DirectSpeech
: c'est un tapis-franc.	DirectSpeech
-- Tope, je paye à souper. Veux-tu venir, la Goualeuse ?	DirectSpeech
-- Oh ! j'avais bien faim,	DirectSpeech
: mais de voir des batteries ça m'écœure, je n'ai plus d'appétit.	DirectSpeech
-- Bah ! bah ! ça te viendra en mangeant,	DirectSpeech
; et la cuisine est fameuse au Lapin-Blanc.	DirectSpeech
Monseigneur, prenez bien garde !	DirectSpeech
-- Commençons d'abord par le commencement,	DirectSpeech
-- Oui... tes parents ?	DirectSpeech
-- Je ne les connais pas,	DirectSpeech
-- Ah ! bah !	DirectSpeech
-- Ni vus, ni connus ; née sous un chou, comme on dit aux enfants.	DirectSpeech
-- Tiens, c'est drôle, la Goualeuse !... nous sommes de la même famille...	DirectSpeech
-- Toi aussi, Chourineur ?	DirectSpeech
-- Orphelin du pavé de Paris, tout comme toi, ma fille. -- Et qu'est-ce qui t'a élevée, la Goualeuse ?	DirectSpeech
-- Ah !... ah !... Ah !... Je la vois d'ici, la Chouette !	DirectSpeech
-- La borgnesse,	DirectSpeech
-- Je comprends, ma fille,	DirectSpeech
-- Oh ! mon Dieu, oui...	DirectSpeech
-- Et tu es sûre que cette femme n'était pas ta mère ?	DirectSpeech
-- J'en suis sûre, la Chouette me l'a assez reproché, d'être sans père et mère ; elle me disait toujours qu'elle m'avait ramassée dans la rue.	DirectSpeech
-- Ainsi,	DirectSpeech
tu avais une danse pour fricot, quand tu ne faisais pas une recette de dix sous ?	DirectSpeech
-- La plume de Beauce !	DirectSpeech
-- L'exercice t'a fait pousser droite comme un jonc, ma fille ; faut pas te plaindre de ça,	DirectSpeech
-- De ne pas manger, ça t'a rendu la taille fine comme une guêpe, ma fille : faut pas te plaindre de ça,	DirectSpeech
-- Oh ! je te défie bien d'avoir été aussi malheureux que moi, Chourineur,	DirectSpeech
-- Tiens, un homme, c'est bien plus dur ; mais une pauvre petite fille,	DirectSpeech
avec ça, j'étais grosse comme une mauviette.	DirectSpeech
-- Tu te rappelles ça, toi ?	DirectSpeech
-- C'est comme moi, j'ai eu le baptême des chiens perdus : on m'appelait chose... machin... ou l'Albinos. C'est étonnant, comme nous nous ressemblons, ma fille,	DirectSpeech
-- C'est vrai,	DirectSpeech
-- Et quand tu avais été chercher des vers pour la Chouette, qu'est-ce que tu faisais ?	DirectSpeech
-- Toujours comme toi, ma fille,	DirectSpeech
on ne croirait pas ça... mais la faim fait grelotter autant que le froid.	DirectSpeech
-- Fameuse soirée pour une mauviette !	DirectSpeech
-- Mais voilà-t-il pas que la borgnesse, qui voyait ça...	DirectSpeech
-- D'un œil,	DirectSpeech
-- Ce n'était pas déjà si bête !	DirectSpeech
-- Dis donc... des sucres d'orge... c'est ça qui devait te faire envie, ma pauvre Goualeuse !	DirectSpeech
-- Qu'as-tu donc, Chourineur ?	DirectSpeech
-- Continue, ma fille,	DirectSpeech
-- Bravo, ma fille !	DirectSpeech
-- J'en mange deux.	DirectSpeech
-- Bravo ! Vive la charte ! ! !	DirectSpeech
-- Oh ! tonnerre ! ça va chauffer... ça va chauffer,	DirectSpeech
Pauvre petit rat ! quel tremblement quand la Chouette s'est aperçue de ça, hein !	DirectSpeech
-- Comment t'es-tu tirée de là, ma pauvre Goualeuse ?	DirectSpeech
-- Ah ! dame ! ç'a été dur ; seulement, ce qu'il y avait de drôle,	DirectSpeech
c'est que la borgnesse, tout en enrageant de me voir manger ses sucres d'orge, ne pouvait pas quitter sa poêle, car sa friture était bouillante.	DirectSpeech
-- Ah !... ah !... ah !... c'est vrai. En voilà une position difficile !	DirectSpeech
-- Et tu n'avais jamais eu de joujoux, Goualeuse ?	DirectSpeech
-- La mauvaise chienne de borgnesse !	DirectSpeech
ça me fait un drôle d'effet de penser à cette enfant qui trotte après cette vieille voleuse, avec son pauvre petit pied tout saignant.	DirectSpeech
-- Morbleu ! je ne la boirais pas, moi, sans être soûl comme une grive.	DirectSpeech
-- Des tenailles !	DirectSpeech
-- Oui, des tenailles.	DirectSpeech
-- Et pour quoi faire ?	DirectSpeech
-- Pour te frapper ?	DirectSpeech
-- Pour te pincer ?	DirectSpeech
-- Ah bien, oui !	DirectSpeech
-- Pour t'arracher les cheveux ?	DirectSpeech
-- Vous n'y êtes pas : donnez-vous votre langue aux chiens ?	DirectSpeech
-- Je la donne.	DirectSpeech
-- Nous la donnons.	DirectSpeech
-- Eh bien, c'était pour m'arracher une dent ! [Note	DirectSpeech
-- Eh bien, qu'est-ce qu'il a donc ?	DirectSpeech
-- Ce que j'ai ?... Mais je l'escarperais [Note	DirectSpeech
je la tenais, la borgnesse !... Où est-elle ? dis-le moi. Où est-elle ? Si je la trouve, je la refroidis ! [Note :	DirectSpeech
-- Et elle te l'a arrachée ta dent, ma pauvre petite, cette vieille misérable ?	DirectSpeech
-- Ah ! la gueuse ! casser, arracher les dents à une pauvre petite enfant !	DirectSpeech
-- Eh bien, après ? Est-ce qu'il y paraît maintenant, voyons ?	DirectSpeech
-- Eh bien, après, qu'as-tu fait ?	DirectSpeech
-- C'était comme moi dans un four à plâtre.	DirectSpeech
-- Tiens, ne m'en parle plus de cette vieille gueuse-là, tu me fais monter le sang aux yeux !	DirectSpeech
-- Avec toi, il y a toujours à rire... tu es une brave fille, tout de même. Tiens, vois-tu, maintenant, foi d'homme, je suis fâché de t'avoir battue.	DirectSpeech
-- Pourquoi ne m'aurais-tu pas battue ? je n'ai personne pour me défendre...	DirectSpeech
-- Et moi ?	DirectSpeech
-- Vous êtes bien bon, monsieur Rodolphe, mais le Chourineur ne savait pas que vous seriez là... ni moi non plus...	DirectSpeech
-- C'est égal, j'en suis pour ce que j'ai dit... je suis fâché de t'avoir battue,	DirectSpeech
-- Continue ton histoire, mon enfant,	DirectSpeech
-- Ah ! le vieux panné ! le vieux plâtras !	DirectSpeech
Voler ses bûches ; et t'avais huit ans !	DirectSpeech
-- Ah ! la fichue bête de marchand de bois...	DirectSpeech
-- C'est-à-dire, ma fille, que tu es un vrai rossignol de naissance,	DirectSpeech
-- Ah ! bon ! bon ! j'y suis,	DirectSpeech
-- Et de la jolie jeunesse... ma fille !	DirectSpeech
-- Avec un amoureux, ma fille ?	DirectSpeech
-- Rigolette ! Rigolette ! je ne connais pas ça, dit le Chourineur, en ayant l'air d'interroger ses souvenirs.	DirectSpeech
-- Il fallait acheter un fonds de bijouterie avec ça,	DirectSpeech
-- Eh ! pourquoi donc qu'elle se cachait dans le jour, la femme à Goubin ?	DirectSpeech
-- Attends donc, attends donc, la femme à Goubin, c'est Helmina ?	DirectSpeech
-- Oui, une brave fille,	DirectSpeech
-- Et la femme à Goubin ?	DirectSpeech
-- Comment ! tu ne sais pas ?	DirectSpeech
-- Non, quoi donc ?	DirectSpeech
-- C'est donc pour ça qu'il a une fièvre cérébrale [Note	DirectSpeech
qu'il sera, dit-on, fauché [Note :	DirectSpeech
jours ? dit le	DirectSpeech
-- Justement,	DirectSpeech
-- Et quand tu as eu donné ton argent à la Lorraine, qu'as-tu fait, ma fille ?	DirectSpeech
-- Je comprends,	DirectSpeech
je te connais maintenant comme si j'étais tes père et mère et que tu n'aurais jamais quitté mon giron. Eh bien ! voilà, j'espère, une confession.	DirectSpeech
-- On dirait que ça t'attriste, ma fille, d'avoir raconté ta vie,	DirectSpeech
-- C'est ça,	DirectSpeech
tu regrettes peut-être d'avoir pas été fille de cuisine dans une gargote, ou domestique chez de vieilles bêtes à soigner les leurs ?	DirectSpeech
-- C'est égal... ça doit être bon d'être honnête...,	DirectSpeech
-- Honnête ! oh !... c'te bête !...	DirectSpeech
!... Et pourquoi pas rosière tout de suite, pour honorer tes père et mère que tu ne connais pas ?	DirectSpeech
une teignasse en chinchilla, comme voilà l'ogresse !	DirectSpeech
-- Oh ! je ne viendrai jamais à cet âge-là.	DirectSpeech
-- Peut-être que tu auras un brevet d'invention pour ne pas bivarder [Note	DirectSpeech
-- Non, mais je n'aurai pas la vie si dure ! j'ai déjà une mauvaise toux !	DirectSpeech
-- Ah ! bon ! je te vois d'ici dans le mannequin du trimbaleur des refroidis [Note	DirectSpeech
Es-tu bête... va !	DirectSpeech
-- Est-ce que ça te prend souvent, ces idées-là, Goualeuse ?	DirectSpeech
-- Eh bien ! sois honnête, ma fille, fais-en la farce... sois honnête	DirectSpeech
-- À boire, Chourineur,	DirectSpeech
Non, pas de vin, de l'eau-de-vie... c'est plus fort, dit-elle de sa voix douce, en écartant le broc de vin que le Chourineur approchait de son verre.	DirectSpeech
-- De l'eau-de-vie ! à la bonne heure ! Voilà comme je t'aime, ma fille ; t'es crâne !	DirectSpeech
-- C'est dommage que l'eau-de-vie soit si mauvaise à boire... car ça étourdit bien...,	DirectSpeech
Le Maître d'école n'aboute pas [Note	DirectSpeech
pourvu que le zig [Note :	DirectSpeech
l'ait pas escarpé à la capahut [Note : ne	DirectSpeech
-- Ça serait flambant pour nous qui avons nourri le poupard [Note	DirectSpeech
Dis donc, mère Ponisse, je vais rentrer tout de suite ; veille à mon broc et à mon assiette... car il faut se défier des francs licheurs.	DirectSpeech
-- Sois tranquille, mon homme,	DirectSpeech
si ton assiette est vide et ton broc aussi, on n'y touchera pas.	DirectSpeech
-- Allons... mon garçon,	DirectSpeech
nous t'écoutons.	DirectSpeech
-- Tu as servi, Chourineur ?	DirectSpeech
-- Et quel métier faisais-tu ?	DirectSpeech
-- Ma foi, mon maître... j'ai comme un brouillard d'avoir gouépé [Note	DirectSpeech
-- Et ton nom ? Comment t'appelait-on ?	DirectSpeech
-- Et tes parents, ta famille ?	DirectSpeech
-- Tu as maudit ton père et ta mère de t'avoir abandonné ?	DirectSpeech
faire les gueux, c'est-à-dire sans froid, ni faim, ni soif ; ça ne lui coûterait rien, et ça coûterait pas tant aux gueux d'être honnêtes.	DirectSpeech
-- Tu as eu faim, tu as eu froid, et tu n'as pas volé, Chourineur ?	DirectSpeech
-- Non ! et pourtant j'ai eu bien de la misère, allez... J'ai fait la tortue [Note	DirectSpeech
pendant deux jours, et plus souvent qu'à mon tour... Eh bien ! je n'ai pas volé.	DirectSpeech
-- Par peur de la prison ?	DirectSpeech
-- Oh ! c'te garce !	DirectSpeech
-- Bien, bien !	DirectSpeech
tu as encore du cœur et de l'honneur...	DirectSpeech
-- Ma foi ! je n'en sais rien,	DirectSpeech
-- Es-tu resté longtemps aide-équarisseur ?	DirectSpeech
-- C'est ce qui t'aura donné l'habitude de chouriner,	DirectSpeech
-- Avec ta force, ton courage et ta manie de chouriner, s'il y avait eu la guerre, dans ce temps-là, tu serais peut-être devenu officier.	DirectSpeech
blesse deux soldats !... une vraie boucherie ! onze coups de couteau à eux trois, oui, onze !... du sang, du sang comme dans un charnier !	DirectSpeech
-- À quoi penses-tu, Chourineur ?	DirectSpeech
-- À rien, à rien,	DirectSpeech
Enfin on m'empoigne, on me met sur la planche au pain, et j'ai une fièvre cérébrale. [Note	DirectSpeech
-- Tu t'es donc sauvé ?	DirectSpeech
-- Non, mais j'ai été quinze ans au pré au lieu d'être fauché [Note	DirectSpeech
des quatre pattes et de la langue qu'il a fait changer ma peine ; au lieu d'aller à l'abbaye de Monte-à-regret [Note : à l'échafaud.],	DirectSpeech
-- Tu regrettais de voir ta peine commuée ?	DirectSpeech
-- Oui... à ceux qui jouent du couteau, le couteau de Charlot [Note	DirectSpeech
que ça vous fait dans les premiers temps.	DirectSpeech
-- Tu as donc eu des remords, Chourineur ?	DirectSpeech
-- Des remords ! Non, puisque j'ai fait mon temps,	DirectSpeech
-- C'était un vilain rêve, Chourineur.	DirectSpeech
-- Tu étais à bonne école pour apprendre à voler.	DirectSpeech
-- Oui, mais le goût n'y était pas. Les autres fagots [Note	DirectSpeech
-- C'est donc un forçat libéré ?	DirectSpeech
-- C'est-à-dire, il était fagot à perte de vue [Note	DirectSpeech
il s'est libéré lui-même.	DirectSpeech
-- Il est évadé ? On ne le dénonce pas ?	DirectSpeech
-- Ce n'est pas moi qui le dénoncerai, toujours, j'aurais l'air de le craindre.	DirectSpeech
-- Comment la police ne le découvre-t-elle pas ? Est-ce qu'on n'a pas son signalement ?	DirectSpeech
-- Son signalement ! Ah bien, oui ! il y a longtemps qu'il a effacé de sa frimousse celui que le meg des megs [Note	DirectSpeech
avait mis. Maintenant, il n'y a que le boulanger qui met les âmes au four[Note :	DirectSpeech
reconnaître, le Maître d'école.	DirectSpeech
-- De quelle manière s'y est-il pris ?	DirectSpeech
